CALL SIGN,COMPANY ,FREQUENCY,DISTRICT,REGION
Radio Paidha,Radio Paida Limited,87.8,Nebbi,
Rainbow Radio,Rain Bow Media,88.2,Nebbi,
Arua One,Arua One FM Limited,88.7,Arua,"Arua, Yumbe, Koboko, Maracha, Zombo, Nebbi"
Radio Maria,Radio Maria Association,90.5,Nebbi,
Radio Pacis,Arua Diocese Media Centre,90.9,Arua,
Nile FM,Bornfree Technologies Network (NILE FM),94.1,Arua,
Radio Pacis,Arua Diocese Media Centre,94.5,Arua,
BBC,BBC World Service,99.4,Arua,
HIL,Here is Life (H.I.L),100.9,Arua,
Radio Jonam,Pakwach FM,100.2,Arua`,
WNB FM,West Nile Broadcasting,91.7,Arua,
Radio Koboko,Homenet Limited,104.5,Arua,
Amani FM,Radio Amani Ltd,89.1,Adjumani,
Speak FM,FOWODE,89.5,Gulu,
Radio King,North Broadcast Company Limited,90.2,Gulu,"Gulu, Moyo, Adjumani, Amuru, Nyoya, "
Radio Maria,Radio Maria Association,91.2,Gulu,
Choice FM,Norah Media Group Limited,92.1,Gulu,
Favor FM,Favor of God Ministries,93.3,Gulu,
Radio Rupinyi,NewVision Printing and Publishing,95.7,Gulu,
Jal FM,MM Electro Services Limited,96.9,Gulu,
Madada FM,Transnile Broadcasting Serrvices Limited,98.6,Moyo,
New Life Church,Madison Baptist Church,99,Moyo,
Radio Pacis,Arua Diocese Media Centre,101.4,Gulu,
VoN FM,Voice of the Nile Ltd,106.1,Moyo,
Mega FM,Uganda Broadcasting Coporation,102.1,Gulu,
Mega FM,Uganda Broadcasting Coporation,103.1,Gulu,
Power FM,Power FM,104.1,Gulu,
Gulu FM,Gulu FM,102.7,Gulu,
Karibu FM,Woebil communications Limited,98.3,Gulu,
ABS FM,Acholi Community Empowerment Initiative,106.8,Gulu,
Radio Maria,Radio Maria Association,105.7,Gulu,
Palwak Radio,Uganda Australian Foundation,88.3,Pader,
Mighty Fire FM,Child Care International ,91.5,Kitgum,"Lamwo, Pader, Kitgum, Agago, "
Luo FM,Luo FM Limited,92.4,Pader,
Peace FM,Salt and Light Christaian City Church,93.7,Kitgum,
Radio Piwa,Radio Piwa,96.5,Pader,
Kitty FM,Kitti FM,99.2,Kitti,
TEMBO,TEMBO FM LIMITED,103.5,KITGUM,
Pol FM,POL FM Limited,100.7,Kitgum,
Voice of Lango,Fellister Ugana Limited,88,Lira,
Radio North,Estalup Enterprises Limited,89,Lira,
Radio Wa,Lira Diocese Media Ltd,89.8,Lira,"Oyam, Kole, Lira, Alebatong, Otuke, Apac, Dokolo, Amolatar"
Radio Divine,Divine Partner Ltd,90.6,Apac,
Radio Apac,Radio Apac,92.9,Lira,
Qfm,Cue Investiment Limited,94.3,Lira,
Radio Lira,Radio Management Service,95.3,Lira,
Rhino FM,Rhino Communications Company Limited,96.1,Lira,
Rhino FM,Rhino Communications Company Limited,96.1,Lira,
Kole,Agwenagwena General Investments Ltd,97.3,Kole,
Unity FM,Unity Investments Limited,97.7,Lira,
Rupinyi Radio,NewVision Printing and Publishing,98.1,Lira,
UBC,Uganda Broadcasting Corporation,99.4,Lira,
Mega FM,Uganda Broadcasting Coporation,100,Lira,
Dokolo FM,Dokolo FM Limited,102.4,Lira,
Radio Apac,Radio Apac,106.5,Lira,
Voice of Karamoja,Voice of Karamoja,87.8,Karamoja,
,Radio Management Service,88.7,Kotido,"Kabong, Abim, Kotido, Napak, Moroto, Amudat, Nakapiripirit"
,Radio Management Service,89.6,Kidepo,
Radio Karamoja,Radio Management Service,94.7,Moroto,
Nenah FM,Nenah FM Limited,104.7,Moroto,
Radio Maria,Radio Maria ,105.5,Moroto,
Teso Broadcasting ,Friend's Holding LTD,87.6,Soroti,
VOT,Voice of Teso,88.4,Soroti,
Veritas Radio,Kyoga Radio Limited,91.5,Soroti,"Amuria, Katakwi, Soroti, Kaberamaido, Serere, Ngora, Kumi"
Ngora Radio,Uganda National Commission for UNESCO,92.3,Ngora,
Joshua FM,Kidde Communications Ltd,93.5,Katakwi,
Continental FM,Continental FM Station Limited,94.7,Kumi,
Delta FM,Soroti Catholic Diocese /Delta FM Radio Limited,97,Soroti,
UBC,Uganda Broadcasting Coporation,98.6,Soroti,
